P25,光誘恆吻唇膏250,VISEE,化妝品_唇部彩妝_唇膏,0,4.5,NULL,NULL,NULL,NULL
P26,光誘恆吻唇膏450,VISEE,化妝品_唇部彩妝_唇膏,0,4,NULL,NULL,NULL,NULL
P27,光誘恆吻唇膏850,VISEE,化妝品_唇部彩妝_唇膏,0,4.5,NULL,NULL,NULL,NULL
P28,玩色雙拼眼影501沙丘幻境,Solone,化妝品_眼眉彩妝_眼影,0,5,NULL,NULL,NULL,NULL
P29,玩色雙拼眼影502落日餘暉,Solone,化妝品_眼眉彩妝_眼影,0,5,NULL,NULL,NULL,NULL
P30,玩色雙拼眼影503半熟豆蔻,Solone,化妝品_眼眉彩妝_眼影,0,5,NULL,NULL,NULL,NULL
P31,玩色雙拼眼影504璀璨暖陽,Solone,化妝品_眼眉彩妝_眼影,0,5,NULL,NULL,NULL,NULL
P32,玩色雙拼眼影505暮色陶心,Solone,化妝品_眼眉彩妝_眼影,0,5,NULL,NULL,NULL,NULL
P33,玩色雙拼眼影506綠野仙蹤,Solone,化妝品_眼眉彩妝_眼影,0,5,NULL,NULL,NULL,NULL
P34,柔和棕調眼影盒 BR-3,KATE,化妝品_眼眉彩妝_眼影,0,5,NULL,NULL,NULL,NULL
P35,柔和棕調眼影盒 BR-4,KATE,化妝品_眼眉彩妝_眼影,0,5,NULL,NULL,NULL,NULL
P36,柔和棕調眼影盒 BR-5,KATE,化妝品_眼眉彩妝_眼影,0,5,NULL,NULL,NULL,NULL
P37,柔和棕調眼影盒 BR-7,KATE,化妝品_眼眉彩妝_眼影,0,5,NULL,NULL,NULL,NULL
P38,柔和棕調眼影盒 BR-8,KATE,化妝品_眼眉彩妝_眼影,0,5,NULL,NULL,NULL,NULL
P39,煥采亮顏美肌乳 30g,Solone,化妝品_臉部彩妝,0,4.5,NULL,NULL,NULL,NULL
P40,卸粧蜜(n) 100ml,ZA,臉部保養_卸妝_卸妝油&乳&水,0,4.5,NULL,NULL,NULL,NULL
P41,原生肌毛孔緊緻化粧水150ml,肌研,臉部保養_保養,0,5,NULL,NULL,NULL,NULL
P42,原生肌毛孔緊緻精華液30g,肌研,臉部保養_保養,0,5,NULL,NULL,NULL,NULL
